geonameid,name,asciiname,lat,lon,feature_class,feature_code,country,admin1,admin2,population,timezone
8207692,Deverki,Deverki,55.52414,27.50802,P,PPL,BY,07,,0,Europe/Minsk
8207693,Kolesniki,Kolesniki,55.5205,27.47934,P,PPL,BY,07,,0,Europe/Minsk
8207694,Rodionovshchina,Rodionovshchina,55.51376,27.45367,P,PPL,BY,07,,0,Europe/Minsk
8207695,Yanishki,Yanishki,55.48418,27.44335,P,PPL,BY,07,,0,Europe/Minsk
8207696,Dvorishche,Dvorishche,55.47737,27.46895,P,PPL,BY,07,,0,Europe/Minsk
8207697,Synodvortsy,Synodvortsy,55.45909,27.48041,P,PPL,BY,07,,0,Europe/Minsk
8207698,Galinovo,Galinovo,55.41609,27.46079,P,PPL,BY,07,,0,Europe/Minsk
8207699,Yakubovo,Yakubovo,55.41614,27.49704,P,PPL,BY,07,,0,Europe/Minsk
8207700,Ul’yanovo,Ul'yanovo,55.36181,27.4943,P,PPL,BY,07,,0,Europe/Minsk
8207701,Stayki,Stayki,55.76934,27.52997,P,PPL,BY,07,,0,Europe/Minsk
8207702,Shaltiny,Shaltiny,55.76063,27.55202,P,PPL,BY,07,,0,Europe/Minsk
8207703,Novoye Selo,Novoye Selo,55.74447,27.51451,P,PPL,BY,07,,0,Europe/Minsk
8207704,Tilevshchina,Tilevshchina,55.74756,27.571,P,PPL,BY,07,,0,Europe/Minsk
8207705,Rybachki,Rybachki,55.73546,27.55988,P,PPL,BY,07,,0,Europe/Minsk
8207706,Pustyn’ki,Pustyn'ki,55.73718,27.51752,P,PPL,BY,07,,0,Europe/Minsk
8207707,Ryzhiye,Ryzhiye,55.72455,27.5261,P,PPL,BY,07,,0,Europe/Minsk
8207708,Idolta,Idolta,55.72429,27.56489,P,PPL,BY,07,,0,Europe/Minsk
8207711,Dubovka,Dubovka,55.70807,27.55268,P,PPL,BY,07,,0,Europe/Minsk
8207712,Drozdy,Drozdy,55.70668,27.51865,P,PPL,BY,07,,0,Europe/Minsk
8207713,Buyanovo,Buyanovo,55.68131,27.52815,P,PPL,BY,07,,0,Europe/Minsk
8207715,Morozy,Morozy,55.6703,27.55759,P,PPL,BY,07,,0,Europe/Minsk
8207716,Khorobrovo,Khorobrovo,55.66552,27.54062,P,PPL,BY,07,,0,Europe/Minsk
